IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com
204.8.99.146,192.168.100.65,0x0011
204.8.99.146,192.168.100.65,0x0011
192.54.112.30,192.168.100.65,assets.nflxext.com
192.168.100.65,205.251.193.118,assets.nflxext.com
192.42.93.30,192.168.100.65,help.nflxext.com
192.168.100.65,205.251.193.118,help.nflxext.com
205.251.193.118,192.168.100.65,assets.nflxext.com
192.35.51.30,192.168.100.65,assets.nflxext.com
192.168.100.65,205.251.193.118,assets.nflxext.com
205.251.193.118,192.168.100.65,help.nflxext.com
192.168.100.65,95.101.36.192,e13252.dscg.akamaiedge.net
205.251.193.118,192.168.100.65,assets.nflxext.com
204.8.99.146,192.168.100.65,0x0011
95.101.36.192,192.168.100.65,e13252.dscg.akamaiedge.net
192.168.100.65,23.72.251.134,e13252.dscg.akamaiedge.net
192.12.94.30,192.168.100.65,help.nflxext.com
192.168.100.65,23.213.29.17,e13252.dscg.akamaiedge.net
23.213.29.17,192.168.100.65,e13252.dscg.akamaiedge.net
23.72.251.134,192.168.100.65,e13252.dscg.akamaiedge.net
205.251.197.6,192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com
205.251.197.6,192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com
192.168.100.65,204.8.99.146,0x0011
192.168.100.65,204.8.99.146,0x0011
192.168.100.65,204.8.99.146,0x0011
192.168.100.65,192.42.93.30,geolocation.onetrust.com
192.168.100.65,192.26.92.30,geolocation.onetrust.com
192.42.93.30,192.168.100.65,geolocation.onetrust.com
192.168.100.65,173.245.58.221,geolocation.onetrust.com
192.26.92.30,192.168.100.65,geolocation.onetrust.com
192.168.100.65,173.245.58.221,geolocation.onetrust.com
173.245.58.221,192.168.100.65,geolocation.onetrust.com
173.245.58.221,192.168.100.65,geolocation.onetrust.com
204.8.99.146,192.168.100.65,0x0011
