IP Origen,IP Destino/Dominio,Protocolo
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,64.233.190.100,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,64.233.190.100,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,64.233.190.100,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,64.233.190.94,UDP
192.168.100.65,64.233.190.94,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.94,192.168.100.65,UDP
64.233.190.94,192.168.100.65,UDP
64.233.190.94,192.168.100.65,UDP
192.168.100.65,64.233.190.94,UDP
192.168.100.65,64.233.190.94,UDP
64.233.190.94,192.168.100.65,UDP
192.168.100.65,64.233.190.94,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,108.177.123.155,UDP
192.168.100.65,108.177.123.155,UDP
192.168.100.65,108.177.123.155,UDP
108.177.123.155,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
192.168.100.65,108.177.123.155,UDP
192.168.100.65,108.177.123.155,UDP
108.177.123.155,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
192.168.100.65,108.177.123.155,UDP
108.177.123.155,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
192.168.100.65,108.177.123.155,UDP
192.168.100.65,108.177.123.155,UDP
64.233.190.104,192.168.100.65,UDP
108.177.123.155,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,142.251.0.94,UDP
192.168.100.65,142.251.0.94,UDP
192.168.100.65,142.251.0.94,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,142.251.0.94,UDP
192.168.100.65,142.251.0.94,UDP
192.168.100.65,142.251.0.94,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,142.251.0.94,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,142.251.0.94,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,142.251.0.94,UDP
142.251.0.94,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,142.251.0.94,UDP
192.168.100.65,64.233.186.95,UDP
192.168.100.65,64.233.186.95,UDP
64.233.186.95,192.168.100.65,UDP
64.233.186.95,192.168.100.65,UDP
64.233.186.95,192.168.100.65,UDP
192.168.100.65,64.233.186.95,UDP
192.168.100.65,64.233.186.95,UDP
192.168.100.65,64.233.186.95,UDP
64.233.186.95,192.168.100.65,UDP
64.233.186.95,192.168.100.65,UDP
192.168.100.65,64.233.186.95,UDP
192.168.100.65,142.251.0.94,UDP
64.233.186.95,192.168.100.65,UDP
192.168.100.65,64.233.186.95,UDP
64.233.186.95,192.168.100.65,UDP
142.251.0.94,192.168.100.65,UDP
192.168.100.65,64.233.186.95,UDP
64.233.186.95,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
