IP Origen,IP Destino/Dominio,Tipo
205.251.192.81,logs.netflix.com,TIPO DNS
192.168.100.65,logs.dradis.netflix.com,TIPO DNS
205.251.192.81,logs.netflix.com,TIPO DNS
192.168.100.65,logs.dradis.netflix.com,TIPO DNS
45.57.8.1,logs.dradis.netflix.com,TIPO DNS
45.57.8.1,logs.dradis.netflix.com,TIPO DNS
192.168.100.65,logs.us-east-1.internal.dradis.netflix.com,TIPO DNS
192.168.100.65,logs.us-east-1.internal.dradis.netflix.com,TIPO DNS
45.57.8.1,logs.us-east-1.internal.dradis.netflix.com,TIPO DNS
192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,TIPO DNS
45.57.8.1,logs.us-east-1.internal.dradis.netflix.com,TIPO DNS
192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,TIPO DNS
204.8.99.146,192.168.100.65,TIPO FIN-ACK
204.8.99.146,192.168.100.65,TIPO FIN-ACK
192.54.112.30,assets.nflxext.com,TIPO DNS
192.168.100.65,assets.nflxext.com,TIPO DNS
192.42.93.30,help.nflxext.com,TIPO DNS
192.168.100.65,help.nflxext.com,TIPO DNS
205.251.193.118,assets.nflxext.com,TIPO DNS
192.35.51.30,assets.nflxext.com,TIPO DNS
192.168.100.65,assets.nflxext.com,TIPO DNS
205.251.193.118,help.nflxext.com,TIPO DNS
192.168.100.65,e13252.dscg.akamaiedge.net,TIPO DNS
205.251.193.118,assets.nflxext.com,TIPO DNS
204.8.99.146,192.168.100.65,TIPO FIN-ACK
95.101.36.192,e13252.dscg.akamaiedge.net,TIPO DNS
192.168.100.65,e13252.dscg.akamaiedge.net,TIPO DNS
192.12.94.30,help.nflxext.com,TIPO DNS
192.168.100.65,e13252.dscg.akamaiedge.net,TIPO DNS
23.213.29.17,e13252.dscg.akamaiedge.net,TIPO DNS
23.72.251.134,e13252.dscg.akamaiedge.net,TIPO DNS
205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,TIPO DNS
205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,TIPO DNS
192.168.100.65,204.8.99.146,TIPO FIN-ACK
192.168.100.65,204.8.99.146,TIPO FIN-ACK
192.168.100.65,204.8.99.146,TIPO FIN-ACK
192.168.100.65,geolocation.onetrust.com,TIPO DNS
192.168.100.65,geolocation.onetrust.com,TIPO DNS
192.42.93.30,geolocation.onetrust.com,TIPO DNS
192.168.100.65,geolocation.onetrust.com,TIPO DNS
192.26.92.30,geolocation.onetrust.com,TIPO DNS
192.168.100.65,geolocation.onetrust.com,TIPO DNS
173.245.58.221,geolocation.onetrust.com,TIPO DNS
173.245.58.221,geolocation.onetrust.com,TIPO DNS
204.8.99.146,192.168.100.65,TIPO FIN-ACK
192.168.100.65,occ-0-3142-1380.1.nflxso.net,TIPO DNS
192.168.100.65,occ-0-3142-1380.1.nflxso.net,TIPO DNS
192.168.100.65,204.8.99.146,TIPO FIN-ACK
204.8.99.146,192.168.100.65,TIPO FIN-ACK
192.168.100.65,204.8.99.146,TIPO FIN-ACK
192.168.100.65,104.18.32.137,TIPO FIN-ACK
104.18.32.137,192.168.100.65,TIPO FIN-ACK
45.57.8.1,occ-0-3142-1380.1.nflxso.net,TIPO DNS
45.57.8.1,occ-0-3142-1380.1.nflxso.net,TIPO DNS
204.8.99.146,192.168.100.65,TIPO FIN-ACK
192.168.100.65,204.8.99.146,TIPO FIN-ACK
192.168.100.65,www.kali.org,TIPO DNS
192.168.100.65,www.kali.org,TIPO DNS
199.19.57.1,www.kali.org,TIPO DNS
199.19.56.1,www.kali.org,TIPO DNS
192.168.100.65,nash.ns.cloudflare.com,TIPO DNS
192.168.100.65,nash.ns.cloudflare.com,TIPO DNS
162.159.3.11,nash.ns.cloudflare.com,TIPO DNS
192.168.100.65,www.kali.org,TIPO DNS
162.159.8.55,nash.ns.cloudflare.com,TIPO DNS
192.168.100.65,www.kali.org,TIPO DNS
172.64.33.209,www.kali.org,TIPO DNS
108.162.193.209,www.kali.org,TIPO DNS
192.168.100.65,104.18.4.159,TIPO FIN-ACK
104.18.4.159,192.168.100.65,TIPO FIN-ACK
