IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,nash.ns.cloudflare.com,DNS
192.168.100.65,nash.ns.cloudflare.com,DNS
162.159.3.11,nash.ns.cloudflare.com,DNS
192.168.100.65,www.kali.org,DNS
162.159.8.55,nash.ns.cloudflare.com,DNS
192.168.100.65,www.kali.org,DNS
172.64.33.209,www.kali.org,DNS
108.162.193.209,www.kali.org,DNS
192.168.100.65,104.18.4.159,TCP FIN-ACK
104.18.4.159,192.168.100.65,TCP FIN-ACK
192.168.100.65,encrypted-tbn2.gstatic.com,DNS
192.168.100.65,encrypted-tbn2.gstatic.com,DNS
216.239.32.10,encrypted-tbn2.gstatic.com,DNS
216.239.34.10,encrypted-tbn2.gstatic.com,DNS
192.168.100.65,update.googleapis.com,DNS
216.239.32.10,update.googleapis.com,DNS
45.57.91.1,192.168.100.65,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,ae.nflximg.net,DNS
192.168.100.65,ae.nflximg.net,DNS
192.33.14.30,ae.nflximg.net,DNS
192.168.100.65,ae.nflximg.net,DNS
205.251.194.101,ae.nflximg.net,DNS
192.42.93.30,ae.nflximg.net,DNS
192.168.100.65,fonts.googleapis.com,DNS
216.239.32.10,fonts.googleapis.com,DNS
192.168.100.65,172.217.192.94,TCP FIN-ACK
172.217.192.94,192.168.100.65,TCP FIN-ACK
192.168.100.65,ichnaea-web.netflix.com,DNS
192.168.100.65,ichnaea-web.netflix.com,DNS
192.168.100.65,www.googletagmanager.com,DNS
192.168.100.65,www.googletagmanager.com,DNS
205.251.192.81,ichnaea-web.netflix.com,DNS
205.251.192.81,ichnaea-web.netflix.com,DNS
192.168.100.65,ichnaea-web.dradis.netflix.com,DNS
192.168.100.65,ichnaea-web.dradis.netflix.com,DNS
192.168.100.65,analytics.tiktok.com,DNS
192.168.100.65,analytics.tiktok.com,DNS
45.57.8.1,ichnaea-web.dradis.netflix.com,DNS
45.57.9.1,ichnaea-web.dradis.netflix.com,DNS
192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com,DNS
192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com,DNS
216.239.38.10,www.googletagmanager.com,DNS
216.239.38.10,www.googletagmanager.com,DNS
45.57.9.1,ichnaea-web.us-east-1.internal.dradis.netflix.com,DNS
45.57.8.1,ichnaea-web.us-east-1.internal.dradis.netflix.com,DNS
192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,DNS
192.26.92.30,analytics.tiktok.com,DNS
192.168.100.65,analytics.tiktok.com,DNS
192.26.92.30,analytics.tiktok.com,DNS
192.168.100.65,analytics.tiktok.com,DNS
205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,DNS
23.211.133.65,analytics.tiktok.com,DNS
23.211.133.65,analytics.tiktok.com,DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,DNS
205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,DNS
192.33.14.30,analytics.tiktok.com.ttdns2.com,DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,DNS
192.26.92.30,analytics.tiktok.com.ttdns2.com,DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,DNS
130.44.212.252,analytics.tiktok.com.ttdns2.com,DNS
192.168.100.65,analytics.tiktok.com.edgekey.net,DNS
71.18.255.166,analytics.tiktok.com.ttdns2.com,DNS
192.168.100.65,analytics.tiktok.com.edgekey.net,DNS
96.7.50.66,analytics.tiktok.com.edgekey.net,DNS
96.7.50.66,analytics.tiktok.com.edgekey.net,DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.26.92.30,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.54.112.30,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,DNS
23.61.245.129,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.168.100.65,e35058.api14.akamaiedge.net,DNS
2.16.40.130,analytics.tiktok.com.bytewlb.akadns.net,DNS
192.168.100.65,e35058.api14.akamaiedge.net,DNS
95.100.173.192,e35058.api14.akamaiedge.net,DNS
192.168.100.65,e35058.api14.akamaiedge.net,DNS
23.213.29.4,e35058.api14.akamaiedge.net,DNS
2.16.40.192,e35058.api14.akamaiedge.net,DNS
192.168.100.65,e35058.api14.akamaiedge.net,DNS
88.221.81.192,e35058.api14.akamaiedge.net,DNS
192.168.100.65,www.facebook.com,DNS
192.168.100.65,www.facebook.com,DNS
192.26.92.30,www.facebook.com,DNS
192.168.100.65,www.facebook.com,DNS
185.89.218.12,www.facebook.com,DNS
192.42.93.30,www.facebook.com,DNS
192.168.100.65,star-mini.c10r.facebook.com,DNS
129.134.31.12,star-mini.c10r.facebook.com,DNS
192.168.100.65,www.google.cl,DNS
192.168.100.65,www.google.cl,DNS
192.203.230.10,www.google.cl,DNS
192.168.100.65,www.google.cl,DNS
185.159.198.56,www.google.cl,DNS
192.168.100.65,www.google.cl,DNS
216.239.34.10,www.google.cl,DNS
202.12.27.33,www.google.cl,DNS
192.168.100.65,www.google.cl,DNS
216.239.38.10,www.google.cl,DNS
192.168.100.65,privacyportal.onetrust.com,DNS
192.168.100.65,privacyportal.onetrust.com,DNS
173.245.59.104,privacyportal.onetrust.com,DNS
108.162.192.221,privacyportal.onetrust.com,DNS
192.168.100.65,34.195.42.24,TCP FIN-ACK
192.168.100.65,64.233.190.103,TCP FIN-ACK
192.168.100.65,172.217.192.94,TCP FIN-ACK
192.168.100.65,104.18.42.137,TCP FIN-ACK
192.168.100.65,172.65.251.78,TCP FIN-ACK
192.168.100.65,172.217.192.95,TCP FIN-ACK
192.168.100.65,157.240.204.35,TCP FIN-ACK
192.168.100.65,172.217.192.94,TCP FIN-ACK
192.168.100.65,104.16.80.73,TCP FIN-ACK
192.168.100.65,54.160.93.182,TCP FIN-ACK
192.168.100.65,3.211.157.115,TCP FIN-ACK
192.168.100.65,104.18.40.188,TCP FIN-ACK
192.168.100.65,104.16.80.73,TCP FIN-ACK
192.168.100.65,172.65.251.78,TCP FIN-ACK
192.168.100.65,64.233.190.94,TCP FIN-ACK
192.168.100.65,54.160.93.182,TCP FIN-ACK
192.168.100.65,64.233.190.105,TCP FIN-ACK
192.168.100.65,142.251.0.138,TCP FIN-ACK
192.168.100.65,108.177.123.157,TCP FIN-ACK
192.168.100.65,142.250.0.94,TCP FIN-ACK
192.168.100.65,142.251.0.207,TCP FIN-ACK
192.168.100.65,172.217.192.95,TCP FIN-ACK
192.168.100.65,34.120.22.49,TCP FIN-ACK
192.168.100.65,104.18.32.137,TCP FIN-ACK
192.168.100.65,142.250.0.95,TCP FIN-ACK
192.168.100.65,64.233.186.155,TCP FIN-ACK
192.168.100.65,172.64.155.119,TCP FIN-ACK
192.168.100.65,64.233.190.94,TCP FIN-ACK
192.168.100.65,104.18.4.159,TCP FIN-ACK
192.168.100.65,64.233.186.97,TCP FIN-ACK
192.168.100.65,23.14.87.57,TCP FIN-ACK
172.217.192.94,192.168.100.65,TCP FIN-ACK
64.233.190.103,192.168.100.65,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,45.57.91.1,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,23.51.159.115,TCP FIN-ACK
192.168.100.65,142.251.0.119,TCP FIN-ACK
192.168.100.65,3.230.56.88,TCP FIN-ACK
192.168.100.65,3.230.56.88,TCP FIN-ACK
192.168.100.65,34.195.42.24,TCP FIN-ACK
192.168.100.65,34.195.42.24,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
192.168.100.65,152.231.111.106,TCP FIN-ACK
23.14.87.57,192.168.100.65,TCP FIN-ACK
